Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Dorial Green Beckham,WR,WR,160.5,87.599999999999994,8.5124999999999993,136.19999999999999,4,-3.9979166667000001,-0.3541666666700003
Lorenzo Taliaferro,RB,RB,87.200000000000003,109.90000000000001,5.9229166666699999,94.766666666700004,9,-4.0020833333300008,1.4145833333399995
Cody Latimer,WR,WR,126.0,156.09999999999999,8.5020833333300008,136.033333333,7,-4.0083333333699986,-0.36458333333999882
Kamar Aiken,WR,WR,143.80000000000001,118.3,8.4562500000000007,135.30000000000001,9,-4.0541666666999987,-0.41041666666999888
Phillip Dorsett,WR,WR,150.30000000000001,103.90000000000001,8.4270833333299997,134.83333333300001,10,-4.0833333333699997,-0.43958333333999988
Matt Jones,RB,RB,83.599999999999994,111.09999999999999,5.7979166666699999,92.766666666700004,8,-4.1270833333300008,1.2895833333399995
Cecil Shorts III,WR,WR,152.30000000000001,97.200000000000003,8.3708333333299993,133.93333333300001,9,-4.1395833333700001,-0.49583333334000024
Rob Housler,TE,TE,73.299999999999997,68.099999999999994,4.4729166666699998,71.566666666700002,11,-4.2625000000000002,-3.0104166666600003
Ronnie Hillman,RB,RB,90.799999999999997,89.900000000000006,5.65625,90.5,7,-4.2687500000000007,1.1479166666699996
Blake Bortles,QB,QB,245.09999999999999,251.59999999999999,15.454166666700001,247.26666666700001,8,-4.4333333332999985,-1.0749999999999993
Benjamin Watson,TE,TE,46.5,111.0,4.25,68.0,11,-4.4854166666699999,-3.2333333333300001
Brent Celek,TE,TE,66.599999999999994,68.599999999999994,4.2041666666699999,67.266666666700004,8,-4.53125,-3.2791666666600001
Reggie Wayne,WR,WR,131.09999999999999,119.7,7.9562499999999998,127.3,4,-4.5541666666999996,-0.91041666666999976
Robert Woods,WR,WR,135.90000000000001,104.8,7.8458333333299999,125.533333333,8,-4.6645833333699995,-1.0208333333399997
Kenny Britt,WR,WR,122.40000000000001,131.5,7.8395833333300002,125.43333333299999,6,-4.6708333333699992,-1.0270833333399993
Damien Williams,RB,RB,95.0,61.100000000000001,5.2312500000000002,83.700000000000003,5,-4.6937500000000005,0.72291666666999976
Donte Moncrief,WR,WR,143.19999999999999,85.299999999999997,7.7437500000000004,123.90000000000001,10,-4.7666666666999991,-1.1229166666699992
Brian Hartline,WR,WR,138.0,94.799999999999997,7.7249999999999996,123.59999999999999,11,-4.7854166666999998,-1.1416666666699999
Andrew Hawkins,WR,WR,127.0,116.3,7.7145833333300002,123.43333333299999,11,-4.7958333333699992,-1.1520833333399993
Lance Kendricks,TE,TE,61.299999999999997,63.799999999999997,3.88333333333,62.133333333300001,6,-4.8520833333399995,-3.6000000000000001
Marcedes Lewis,TE,TE,63.5,58.700000000000003,3.8687499999999999,61.899999999999999,8,-4.8666666666699996,-3.6145833333300001
Toby Gerhart,RB,RB,87.599999999999994,53.399999999999999,4.7625000000000002,76.200000000000003,8,-5.1625000000000005,0.25416666666999976
Ty Montgomery,WR,WR,112.2,127.90000000000001,7.3395833333300002,117.43333333299999,7,-5.1708333333699992,-1.5270833333399993
