RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS,
157,"Jalin Marshall, NYJ WR  SSPD",FA,,0/0,0,0,0,0,0,0,2.6,30.1,0.2,5.7,5.6
158,"Mack Hollins, Phi WR",FA,,0/0,0,0,0,0,0,0,3.6,43.5,0.2,5.6,5.6
159,"Wendall Williams, Hou WR",FA,,0/0,0,0,0,0,0,0,3.3,43.8,0.2,5.6,5.6
160,"Quan Bray, Ind WR  Q",FA,,0/0,0,0,0,0,0,0,1.8,22.2,0.2,4.9,5.3
161,"Tajae Sharpe*, Ten WR  OBreaking News",FA,,0/0,0,0,0,0,0,0,2.7,35.5,0.2,4.9,5.3
162,"Rodney Adams, Min WR",FA,,0/0,0,0,0,0,0,0,1.7,21.6,0.1,3.7,5.3
163,"Jared Abbrederis, Det WR",FA,,0/0,0,0,0,0,0,0,1.8,23.2,0.2,3.2,5.3
164,"Ishmael Zamora, Oak WR",FA,,0/0,0,0,0,0,0,0,1.8,22.7,0.1,3.1,5.3
165,"Donteea Dye, TB WR  Q",FA,,0/0,0,0,0,0,0,0,1.7,20.6,0.1,2.9,5.1
166,"Brenton Bersin, Car WRRecent News",FA,,0/0,0,0,0,0,0,0,1.6,20.7,0.1,2.8,5
167,"David Moore, Sea WR",FA,,0/0,0,0,0,0,0,0,1.5,19,0.1,2.7,4.9
168,"Josh Malone, Cin WR",FA,,0/0,0,0,0,0,0,0,1.6,19.2,0.1,2.6,4.7
169,"Jordan Payton, Cle WR",FA,,0/0,0,0,0,0,0,0,1.7,20,0.1,2.5,4
170,"Alex Erickson, Cin WR",FA,,0/0,0,0,0,0,0,0,0,0,0,1.4,3.7
171,"Mario Alford, Cle WR",FA,,0/0,0,0,0,0,0,0,0,0,0,0.8,3.6
172,"Eric Weems, Ten WR",FA,,0/0,0,0,0,0,0,0,0,0,0,0.7,3.5
173,"Trevor Davis, GB WR",FA,,0/0,0,0,0,0,0,0,0,0,0,0.7,3.3
174,"Demarcus Ayers, Pit WRBreaking News",FA,,0/0,0,0,0,0,0,0,0,0,0,0.6,3.2
175,"Deonte Thompson, Chi WR",FA,,0/0,0,0,0,0,0,0,0,0,0,0.5,3.2
176,"DeAngelo Yancey, GB WR",FA,,0/0,0,0,0,0,0,0,0.2,2.7,0,0.4,2.9
177,"Cody Latimer, Den WR",FA,,0/0,0,0,0,0,0,0,0,0,0,0.3,2.8
178,"Jeff Janis, GB WR",FA,,0/0,0,0,0,0,0,0,0,0,0,0.2,2.7
179,"Michael Thomas, LAR WR",FA,,0/0,0,0,0,0,0,0,0,0,0,0.2,2.7
180,"Keenan Reynolds, Bal WR",FA,,0/0,0,0,0,0,0,0,0,0,0,0.1,2.6
181,"Joshua Bellamy, Chi WR",FA,,0/0,0,0,0,0,0,0,0,0,0,0.1,2.4
